sample	arm	elapsed_sec	duration_ms	api_ms	num_turns	in_tok	out_tok	cache_read	cache_create	cost_usd	stop
1	before	11.773	9115	7759	3	8	401	63130	31937	0.24123625	end_turn
1	after	7.464	4925	3799	2	7	180	48621	14255	0.11793925000000001	end_turn
2	before	16.053	13556	12254	3	8	409	80553	14530	0.141354	end_turn
2	after	8.245	5942	4820	2	7	180	48621	14255	0.11793925000000001	end_turn
3	before	10.939	8711	7631	3	8	402	80546	14523	0.14113175	end_turn
3	after	7.453	5114	3969	2	7	180	48621	14255	0.11793925000000001	end_turn
4	before	11.155	9114	8099	3	8	415	80559	14536	0.14154450000000002	end_turn
4	after	7.21	5059	4030	2	7	180	48621	14255	0.11793925000000001	end_turn
5	before	13.558	10823	9573	3	8	372	80291	14720	0.1414855	end_turn
5	after	11.068	8736	7639	2	7	213	48621	14287	0.11896425	end_turn
